,first_language,funding,school,fast_track,coop,residency,gender,prev_education,age_group,english_grade,first_term_gpa,second_term_gpa,high_school_average_mark,math_score
295,3,4,6,2,2,2,2,1,2,2,0.230769,0.7403768700000005,71.53,39.0
296,1,2,6,2,2,1,2,1,3,4,1.954545,3.125,76.0,33.0
297,1,2,6,2,1,1,2,1,1,9,2.795455,2.543478,78.0,26.05
298,1,2,6,2,2,1,2,1,1,7,2.2,1.47619,82.0,23.0
299,3,4,6,2,2,2,2,0,1,8,0.0,0.09187013000000001,68.25,48.0
300,3,2,6,2,2,1,2,1,2,9,2.388889,2.7,67.0,34.0
301,1,2,6,2,2,1,2,1,1,9,3.56,3.175,74.0,34.0
302,3,4,6,2,1,2,1,1,2,8,3.458333,3.38,86.47,42.97
303,1,2,6,2,2,1,2,1,2,7,0.45,1.4920521900000003,56.0,23.0
304,1,2,6,2,2,1,2,0,1,9,2.1,1.4334153299999999,66.0,25.0
305,3,4,6,2,2,2,2,2,1,8,0.375,0.0,71.09,37.0
306,1,2,6,2,2,1,2,1,1,9,1.979167,1.605263,75.0,27.0
307,1,1,6,2,1,1,2,1,1,9,4.086957,3.673077,77.0,31.0
308,1,2,6,2,2,1,1,2,3,9,4.23913,4.124255230000001,105.0,45.0
309,3,2,6,2,2,1,2,1,1,8,2.23913,3.095238,82.0,38.0
310,3,4,6,2,1,2,1,2,1,9,3.652174,3.625,86.79,47.0
311,3,4,6,1,2,2,1,1,3,8,3.68,3.68,87.42,44.74
312,3,4,6,2,2,2,1,1,2,9,4.043478,2.968300920000001,86.92,46.0
313,1,2,6,2,2,1,2,1,1,9,3.086957,2.875,76.0,31.0
314,3,4,6,2,1,2,2,1,5,10,3.681818,2.021739,75.76,22.0
315,1,2,6,2,2,1,2,1,1,9,3.022727,2.574588110000001,76.0,16.0
316,1,2,6,2,2,1,2,1,1,7,3.44,3.23913,78.0,24.0
317,3,4,6,2,2,2,2,1,2,4,0.0,0.09699594000000002,75.26,38.0
318,1,2,6,2,1,1,1,1,2,7,2.545455,2.842105,67.0,24.0
319,1,2,6,2,2,1,2,1,1,3,1.34,0.3,68.0,20.0
320,1,2,6,2,1,1,1,1,3,7,2.730769,3.882353,75.0,29.0
321,3,4,6,2,2,2,2,1,2,7,0.46,2.84375,70.47,17.0
322,1,2,6,2,1,1,2,1,3,7,2.275,1.233333,73.0,24.0
323,3,2,6,2,2,1,2,2,7,8,4.282609,4.238095,83.07,48.0
324,1,2,6,2,1,1,1,1,4,8,3.916667,3.979167,86.0,50.0
325,3,4,6,2,2,2,2,1,2,8,3.464286,3.470588,86.39,38.0
326,1,2,6,2,1,1,2,2,4,9,4.275,4.363636,88.0,47.0
327,1,2,6,2,2,1,2,2,3,9,3.82,3.6,69.0,30.0
328,3,4,6,1,2,2,1,2,3,8,2.26,2.076923,75.09,31.3
329,1,2,6,2,2,1,2,2,7,8,4.225,3.911765,86.24,35.0
330,1,2,6,2,1,1,2,1,3,9,1.727273,1.9,67.0,37.0
331,1,2,6,2,1,1,2,2,1,9,3.272727,2.608696,89.0,29.33
332,3,4,6,2,1,2,2,1,4,8,3.979167,3.333333,84.09,48.0
333,3,2,6,2,2,1,2,2,5,10,4.214286,4.047619,80.52,49.0
334,3,4,6,1,1,2,2,1,3,8,4.0,3.5,84.26,46.33
335,1,2,6,2,1,1,1,1,1,4,0.695652,0.9201555299999998,69.0,18.0
336,1,2,6,2,2,1,2,1,1,9,2.0,0.0,73.0,33.0
337,1,2,6,2,1,1,2,1,2,9,2.547619,2.891304,78.0,27.0
338,1,2,6,2,2,1,2,2,3,9,2.733333,3.02381,67.0,41.0
339,3,4,6,1,2,2,1,1,3,10,3.9,3.928571,90.44,45.01
340,3,4,6,1,2,2,2,2,3,8,3.152174,2.865385,83.25,44.31
341,3,4,6,1,2,2,2,1,3,8,3.043478,2.730769,80.91,41.32
342,3,4,6,1,2,2,2,1,4,8,2.416667,2.708333,68.8,28.58
343,1,2,6,2,1,1,2,1,1,9,2.842105,0.736842,88.0,23.0
344,3,4,6,1,2,2,2,2,3,8,3.9,3.727273,87.65,45.18
345,1,2,6,2,1,1,2,1,2,3,0.0,0.6721200700000003,72.0,15.0
346,3,4,6,2,1,2,2,1,3,10,1.730769,1.866667,76.13,35.0
347,1,1,6,2,1,1,2,1,1,7,2.891304,2.730769,82.0,20.0
348,1,2,6,2,1,1,2,1,1,9,3.277778,2.5,81.0,28.36
349,1,2,6,2,2,1,2,2,3,9,3.4,2.8396630199999997,70.0,33.0
350,3,4,6,1,2,2,1,1,4,8,3.586957,3.307692,87.57,44.79
351,3,4,6,2,2,2,2,1,1,9,2.456522,2.380952,79.4,37.0
352,1,2,6,2,2,1,2,2,2,7,2.25,2.2,83.0,26.6
353,1,2,6,2,2,1,2,1,1,9,0.0,0.0,50.0,16.0
354,3,4,6,1,2,2,2,1,3,8,2.456522,2.269231,72.53,34.04
355,1,1,6,2,1,1,2,1,2,7,3.543478,3.038462,76.0,28.0
356,1,2,6,2,1,1,1,2,4,9,4.152174,3.73913,83.0,25.0
357,3,8,6,2,2,1,2,0,7,10,4.386364,4.363636,84.42,49.0
358,3,4,6,1,1,2,2,1,3,8,3.738095,3.125,87.96,46.9
359,3,4,6,2,1,2,2,1,3,10,4.285714,4.413043,85.62,47.0
360,3,4,6,1,2,2,2,2,3,10,3.729167,3.653846,89.42,45.61
361,3,2,6,2,1,1,2,1,3,9,4.022727,4.0,97.0,45.0
362,1,2,6,2,2,1,2,1,1,9,2.825,3.0,77.0,28.0
363,3,4,6,2,2,2,2,0,4,10,4.25,4.175,83.19,47.32
364,3,4,6,2,2,2,2,1,2,8,3.875,3.979167,87.55,48.0
365,1,2,6,2,2,1,2,1,1,9,3.571429,2.717391,84.0,27.0
366,1,2,6,2,2,1,2,1,1,9,0.0,1.0,69.0,34.0
367,1,2,6,2,1,1,2,1,1,10,4.23913,4.0433097600000005,83.0,45.0
368,1,2,6,2,1,1,2,2,2,9,2.227273,2.62963,75.65,33.0
369,3,2,6,2,2,1,2,1,3,9,3.479167,3.473684,78.0,16.0
370,1,8,6,1,1,1,2,2,7,9,4.4375,4.384615,95.45,48.0
371,1,2,6,2,2,1,2,2,4,9,3.64,3.047619,61.0,19.56
372,3,4,6,1,2,2,1,1,3,8,2.7,3.204545,73.91,30.53
373,1,2,6,2,2,1,2,1,3,7,3.3125,3.888889,57.0,20.17
374,3,4,6,2,2,2,2,1,3,8,1.6,2.0,71.08,25.0
375,1,2,6,2,2,1,2,0,3,4,0.357143,0.0,59.08,26.0
376,3,2,6,1,2,1,1,2,4,8,3.695652,3.596154,87.56,43.64
377,3,2,6,2,1,1,2,1,1,9,3.717391,3.152174,86.0,44.0
378,3,4,6,1,2,2,2,1,1,7,2.5,2.26,79.93,37.13
379,3,4,6,2,2,2,2,1,4,8,4.041667,4.041667,85.38,48.0
380,3,2,6,2,2,1,2,2,3,9,4.066667,3.431034,72.0,31.0
381,1,2,6,2,1,1,2,2,2,9,3.72,2.761905,84.11,26.0
382,1,2,6,2,2,1,2,1,1,7,0.84,0.0,74.0,23.08
383,3,2,6,2,2,1,1,2,1,4,4.065217,3.461538,85.74,40.0
384,1,2,6,2,2,1,2,0,2,7,0.0,0.21885167999999997,42.0,9.0
385,3,4,6,2,2,2,2,1,2,10,2.673913,3.138889,80.67,42.0
386,1,2,6,2,1,1,2,1,2,9,1.230769,3.0,74.0,37.0
387,2,2,6,2,1,1,2,1,1,9,2.340909,2.136364,87.0,33.43
388,3,8,6,2,2,1,2,0,7,4,3.52381,3.404762,85.15,40.41
389,1,2,6,2,2,1,2,1,1,1,0.0,0.0,68.0,28.0
390,1,2,6,2,2,1,2,2,3,7,3.3,2.727273,77.58,33.0
391,1,2,6,2,2,1,2,1,1,7,3.1,2.47619,78.0,19.0
392,1,2,6,2,2,1,2,1,2,9,3.0,3.275,87.0,24.0
393,3,4,6,2,2,2,2,1,3,8,3.934783,3.590909,83.49,48.0
394,1,2,6,2,2,1,1,1,3,9,2.742244160000001,2.1676631600000005,93.0,30.0
395,3,4,6,1,1,2,2,2,3,9,4.083333,4.277778,96.1,46.77
396,1,2,6,2,2,1,2,2,7,9,1.809524,1.954545,66.38,18.0
397,3,4,6,1,2,2,1,1,3,8,0.944444,0.0,69.42,30.07
398,3,4,6,1,2,2,2,1,3,9,3.175,2.952381,84.33,44.29
399,1,2,6,2,2,1,2,1,2,9,0.0,0.0,66.0,22.0
400,1,2,6,2,2,1,1,1,3,9,2.227273,2.590909,75.17,29.0
401,3,4,6,1,2,2,2,2,3,4,2.425,2.767857,70.93,31.56
402,1,2,6,1,1,1,1,2,4,9,4.166667,3.978261,97.0,35.23
403,1,2,6,2,2,1,2,2,4,9,2.92,1.777778,74.59,31.0
